question,option,context,boundary,generative,taste,stance,groundedness,skillable,expressive,noise
1,A,0,0,0,0,0,0,2,1,0
1,B,0,2,0,0,0,1,1,1,0
1,C,0,1,0,0,3,0,0,1,0
1,D,0,0,0,0,1,2,0,0,1
2,A,0,0,0,0,0,0,2,1,0
2,B,0,3,0,0,0,1,1,2,0
2,C,1,1,0,0,0,1,1,1,0
2,D,0,0,0,0,0,1,0,0,2
3,A,0,0,0,0,0,0,2,1,0
3,B,1,2,0,0,0,0,1,1,0
3,C,1,3,0,0,0,0,0,2,0
3,D,0,2,0,0,0,1,0,0,1
4,A,0,0,0,0,0,0,2,1,0
4,B,2,0,0,0,0,1,1,0,0
4,C,1,2,0,0,2,0,0,1,0
4,D,1,0,0,0,2,1,0,0,0
5,A,0,0,0,0,0,0,1,1,0
5,B,1,2,0,0,0,0,0,2,0
5,C,2,2,0,0,0,1,0,2,0
5,D,3,0,0,0,0,1,0,0,0
6,A,0,0,0,0,0,0,1,0,0
6,B,1,0,0,0,0,0,0,0,0
6,C,1,0,0,0,0,0,0,0,2
6,D,3,0,0,0,0,1,0,1,0
7,A,0,0,0,0,0,0,1,0,0
7,B,1,1,0,0,1,0,0,2,0
7,C,2,2,0,0,1,1,0,1,0
7,D,2,0,0,0,2,0,0,0,1
8,A,0,0,0,0,0,0,2,0,0
8,B,2,0,0,0,0,0,1,1,0
8,C,3,0,0,0,0,1,0,1,0
8,D,2,0,0,0,0,0,0,0,1
9,A,0,0,0,0,0,0,2,1,0
9,B,1,1,0,0,0,0,1,2,0
9,C,3,0,0,0,0,1,0,1,0
9,D,1,2,0,0,1,0,0,0,1
10,A,0,0,0,0,0,0,2,0,0
10,B,0,1,0,0,0,1,0,2,0
10,C,0,3,0,0,0,2,0,2,0
10,D,0,2,0,0,1,0,0,0,0
11,A,0,0,0,0,0,0,2,0,0
11,B,0,1,0,0,0,0,1,1,0
11,C,0,3,0,0,1,1,0,1,0
11,D,0,2,0,0,2,1,0,0,0
12,A,0,0,0,1,0,0,0,0,1
12,B,0,1,0,1,0,0,0,1,0
12,C,0,2,0,2,0,0,0,1,0
12,D,0,1,0,3,0,0,0,0,1
13,A,0,0,0,0,0,0,2,0,0
13,B,0,1,0,2,0,0,0,1,0
13,C,0,1,0,2,1,0,0,1,0
13,D,0,0,0,2,0,1,0,0,1
14,A,0,0,0,0,0,0,2,1,0
14,B,0,0,1,0,0,0,1,1,0
14,C,0,0,2,2,1,0,0,1,0
14,D,0,0,1,1,0,0,0,0,1
15,A,0,0,0,0,0,0,2,1,0
15,B,0,0,0,0,0,0,1,2,0
15,C,1,0,0,2,2,0,0,1,0
15,D,1,0,0,1,1,0,0,1,0
16,A,0,0,0,1,0,0,0,0,0
16,B,0,0,0,1,0,0,0,0,0
16,C,0,0,0,3,2,0,0,1,0
16,D,0,0,0,2,2,0,0,0,0
17,A,0,0,0,0,0,0,2,1,0
17,B,2,0,1,1,0,0,1,2,0
17,C,0,2,1,1,0,0,0,1,0
17,D,0,0,3,2,0,1,0,0,0
18,A,0,0,1,0,0,0,1,0,1
18,B,2,0,1,1,0,0,0,1,0
18,C,0,1,3,2,1,0,0,1,0
18,D,0,0,1,1,0,2,0,0,1
19,A,0,0,0,0,0,0,1,1,0
19,B,1,1,1,0,0,0,0,1,0
19,C,0,2,1,0,1,0,0,0,0
19,D,0,0,3,1,0,2,0,0,0
20,A,0,0,1,0,0,0,1,1,0
20,B,1,1,1,0,0,0,0,2,0
20,C,0,2,2,0,0,0,0,1,0
20,D,0,1,3,1,1,0,0,0,0
21,A,0,0,0,0,0,0,1,0,0
21,B,1,0,0,0,1,0,0,1,0
21,C,1,0,0,0,3,0,0,2,0
21,D,0,0,0,0,2,0,0,0,1
22,A,0,0,0,0,0,0,2,2,0
22,B,0,0,0,0,0,1,0,0,0
22,C,0,0,0,0,1,2,0,0,1
22,D,0,2,0,0,2,1,0,0,0
23,A,0,0,0,0,0,0,2,0,0
23,B,0,0,0,0,0,1,1,0,0
23,C,0,1,0,0,0,3,0,1,0
23,D,2,0,0,0,0,3,0,0,0
24,A,0,0,0,0,0,0,2,1,0
24,B,0,0,0,0,0,1,1,2,0
24,C,1,2,0,0,3,0,0,1,0
24,D,0,0,1,0,0,0,0,0,2
